id,name,description,projectId,parentId,estimatedHours,isActive,createdAt,updatedAt,recurrence,evaluatedBy,evaluationNotes,evaluatedAt,createdBy,dueDate,isShared,reminderDate,reminderTime,soundEnabled,completedAt,priority,status,hrTimesheetId,complexity,trainingLevel,masteryLevel,understandingLevel,activityType,activityName,periodicity
_4XXWez1EtpM67ZygBYm9,Rapport mensuel,"Rapport mensuel d'activité RH : Impression d'un jet du rapport mensuel pour ADG ",,,0.5,true,2025-11-20 11:53:44.829,2025-11-20 11:53:44.829,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-20 10:10:07.824,false,,,true,,MEDIUM,IN_PROGRESS,OL6h2_B4REFKlgq2rad0O,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
_bS0tnFsaUCQ88ucAKFIx,Courrier / Correspondances,Réponse à l'offre de stage,,,1,true,2025-11-17 12:19:44.689,2025-11-17 12:19:44.689,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-12 23:00:00,false,,,true,,MEDIUM,DONE,wHBwb-wwh-yWwEhU7nwQG,MOYEN,,,,OPERATIONAL,Courrier / Correspondances,PUNCTUAL
_lm7j8z1_nJkiO9UfzO4m,Rédaction des fiches de poste," mise à jour des fiches de poste ",,,4,true,2025-12-23 13:32:07.258,2025-12-23 13:32:07.258,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-21 23:00:00,false,,,false,,MEDIUM,IN_PROGRESS,VJtsKJ_mrhE8B4CChM__e,MOYEN,,,,OPERATIONAL,Rédaction des fiches de poste,PUNCTUAL
_mRyeAtncrUm7dLqEewUi,Entretiens de recrutement,"CODIR de la SEEG ",,,7,true,2025-12-09 08:30:51.081,2025-12-09 08:30:51.081,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-04 23:00:00,false,,,true,,MEDIUM,DONE,uEw2JOGCS48WADhQTjScf,MOYEN,,,,OPERATIONAL,Entretiens de recrutement,PUNCTUAL
_toJLfHH6Xq9vea2TKZCE,Rédaction des fiches de poste,Rédaction et mise à jour des fiches de poste,,,3,true,2025-12-19 09:09:05.568,2025-12-19 09:09:05.568,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-19 09:06:28.654,false,,,true,,MEDIUM,DONE,p63hpGeKJSTJIA8LM7GbM,MOYEN,,,,OPERATIONAL,Rédaction des fiches de poste,PUNCTUAL
-AVIGqZ_JK5VBNStKRTEv,Projet - Odillon,Projets internes Odillon : Maintenance de la plateforme Chronodil et ajout de nouvelles fonctionnalités.,,,15,true,2025-12-08 11:21:52.535,2025-12-08 11:21:52.535,,,,,pYcGKxZ2bm6CMreDd4PaXfGdyImop3w3,2025-12-04 23:00:00,false,,,false,,MEDIUM,IN_PROGRESS,SQ-jYJ2ZhnyN11qsxRP3J,MOYEN,,,,OPERATIONAL,Projet - Odillon,WEEKLY
-k-Y33Lz8tFnkiIhQsku8,Indicateurs de performance,"Calcul et analyse des indicateurs de performance : Enregistrement des présences des agents de la CDC ",,,3,true,2025-11-21 10:21:48.277,2025-11-21 10:21:48.277,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-21 10:14:13.855,false,,,true,,MEDIUM,DONE,et0Iqvfq1iKkM2gUdIOT4,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
-kch1P4u38zpY9JlI7o09,Indicateurs de performance,Calcul et analyse des indicateurs de performance : Analyse des absences du mois d'octobre 2025,,,2,true,2025-11-14 17:09:31.916,2025-11-14 17:09:31.916,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-05 23:00:00,false,,,true,,MEDIUM,DONE,zrpTJcysD55vU_AuXgGnH,MOYEN,,,,REPORTING,Indicateurs de performance,MONTHLY
-nHXPxfeQybvQGE_rLfRs,AUTRES - Contrôle et Reporting,Compte rendu de la réunion ODILLON,,,2,true,2025-12-19 08:38:45.439,2025-12-19 08:38:45.439,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-15 23:00:00,false,,,false,,MEDIUM,DONE,p63hpGeKJSTJIA8LM7GbM,MOYEN,,,,REPORTING,AUTRES - Contrôle et Reporting,PUNCTUAL
-VNcnlrZviwCnw2ctc-ch,Periode d'essai,Suivi des périodes d'essai : Contrôle des périodes d'essai ( 2 employés ),,,0.5,true,2025-12-01 16:02:28.111,2025-12-01 16:02:28.111,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-25 23:00:00,false,,,true,,MEDIUM,DONE,IhvwGsOXDKksbHczStnBR,MOYEN,,,,REPORTING,Periode d'essai,WEEKLY_MONTHLY
